lemma_id,gloss_type_Bamberg,gloss_type_Lat7499,gloss_form_Bamberg,gloss_form_Lat7499,lemma_Bamberg,gloss_Bamberg,lemma_Lat7499,gloss_Lat7499
p448_l18_o06,S53,S53,F3,F3,positionis ,pͥmae ꝑsonae,positionis ,÷ pͥmę ꝑsonę
p448_l18_o09,S22,S22,F3,F3,Notatis ,exceptis SEGREGA ͭ ͥ ᷤ,Notatis ,segregatis signatis manifestatis
p448_l19_o01,S22,S22,F2,F2,anomalis ,inęqualib,anomalis ,inęqualib; / s. uerbis
p448_l20_o03,S22,S22,F2,F2,"inquã, ",dico,inquã ,dixi dico
p448_l20_o04,S22,S22,F2,F2,"cedo, ",dic,cędo ,ꝑcutio
p448_l20_o05,S22,S22,F2,F2,edo ,COMED ͦ,Edo ,manduco
p448_l20_o06,S22,S22,F3,F3,"faxo, ",facio ł ILLUMIN ͦ?,"Faxo, ",facio ł illumino
p448_l20_o07,S25,S25,F3,F3,"sodes, ",si audes,"Sodes, ",si audes
p448_l20_o08,S22,S22,F2,F2,"aue, ",salue,"Aue, ",salue
p448_l20_o09,S22,S22,F2,F2,"ferit, ",ꝑcutit,"Ferit, ",ꝑcutit
p448_l20_o10,S22,S22,F2,F2,"infit, ",inquit,Infit ,inꝗd
p448_l22_o03,S22,S22,F3,F3,oboedire ,PAR ͤ ͬ ͤ ET sequi,oboedire ,parere / & requi
p448_l24_o03,S22,S22,F2,F2,ambiguitate ,dubietate,ambiguitate ,dubietate
p448_l27_o04,S23,S23,F3,F3,artigaphis ,artiũ scriptorib,ortographis ,recti scriptorib artiũ / ł arti
p448_l28_o02,S23,S23,F3,F3,"hebesco, ",hebes fieri incipio,"Hebesco, ",hebes eẽ incipio
p448_l28_o03,S23,S23,F3,F3,"caluesco, ",caluus FI ͤ ͬ ͥ INCIPI ͦ,"Caluesco, ",inc̃ caluere
p448_l28_o04,S23,S23,F3,F3,"ꝑtimesco, ",ꝑtimere INCIPI ͦ,"Pertimesco, ",inc̃ ꝑtimere
p448_l28_o05,S23,S23,F3,F3,"euanesco, ",uanꝰ INCIPI ͦ FI ͤ ͬ ͥ,Euanesco. ,inc̃ euanere ł uacuare / ł uanus fieri incipio
p449_l01_o04,S23,S23,F3,F3,"labasco, ",labere ID EST CAD ͤ ͬ ͤ INCIPI ͦ,"Labasco, ",labare ÷ ruere
p449_l02_o04,S23,S23,F3,F3,glisco  ,crescere INCIPI ͦ,"Glisco, ",÷ crescere
p449_l02_o10,S22,S22,F2,F2,solũ ,?,solũ ,solũ modo
p449_l03_o09,S23,S23,F3,F3,lecturio ,legere meditor,"Lecturio, ",medit̃ legere
p449_l03_o10,S23,S23,F3,F3,"dicturio, ",DIC ͤ ͬ ͤ VOLO,"dicturio, ",÷ dictare
p449_l04_o01,S23,S23,F3,F3,"micturio, ",mingere meditor,"Micturio, ",÷ mingere
p449_l07_o01,S23,S23,F3,F3,"lectito, ",frequent̃ lego,lectito ,ł lecto freq̃t̃ lego
p449_l07_o08,S54,S54,F3,F3,merso ,A MERG ͦ VERB ͦ,"Merso, ",a m̃go ũbo
p449_l17_o01,S3232,S3232,F2,F2,ea ,VERB ͣ,ea ,s uerba
p449_l17_o05,S22,S22,F2,F2,discerni ,distingui,discernũ ,distinguo
p449_l18_o01,S22,S22,F3,F3,facilior ,planior leuior,facilior ,planior leuior.
p449_l19_o05,S22,S22,F2,F2,finalis ,+,finales ,t̃minales
p449_l20_o06,S22,S22,F2,F2,reboo ,resono,reboo ,resono
p449_l23_o09,S22,S22,F3,F3,traductũ ,deductũ diriuatũ,traductu ,diriuatũ deductũ
p449_l24_o02,S22,S22,F2,F2,igit᷑ ,+,.gͥ. ,ap
p449_l27_o08,S53,S53,F2,F2,t̃tia ,CONIUGA ͭ ͥ ͦ,t̃tia ,coniugatio
p449_l27_o09,S53,S53,F4,F4,inchoatiua ,SUBAUD ͥ ͭ ͧ ͬ VERB ͣ POSSID ͤ ͭ,inchoatiua ,uerba possidet
p449_l29_o02,S53,S53,F3,F3,ipsa ,CONIUGA ͭ ͥ ͦ SECUND ͣ,ipsa ,possid& coniugatio
p449_l30_o03,S22,S22,F2,F2,"habeo, ",possideo,"Habeo, ",possideo
p449_l30_o04,S22,S22,F2,F2,"taceo, ",sileo,"Taceo, ",sileo
p449_l30_o10,S22,S22,F2,F2,"stupeo, ",admiror,"Stupeo, ",admiror
f74r_l18_o01,S22,S22,F2,F2,"arceo, ",ꝓhibeo,"Arceo, ",ꝓhibeo
p449_l31_o01,S22,S22,F2,F2,"censeo, ",iudico,"Censeo, ",iudico
p449_l30_o08,S22,S22,F2,F2,"timeo, ",uereor,"Timeo, ",uereor
p449_l31_o02,S22,S22,F2,F2,"pateo, ",aperio,"Pateo, ",aperio
p449_l31_o03,S22,S22,F2,F2,caueo ,p̃uideo,Caueo. ,p̃uideo
p449_l33_o03,S23,S23,F3,F3,"liqueor, ",defluo DECURR ͦ,"Liqueor, ",liquorẽ facio
p449_l33_o06,S22,S22,F2,F2,"męreor, ",tristor,"Mereor, ",tristor
p450_l01_o02,S22,S22,F3,F3,tueor ,uideo ł defendo,"Tueor, ",uideo/ł defendo
p450_l01_o04,S22,S22,F2,F2,Notant᷑ ,excipiunt᷑,Notant᷑ ,excipiunt᷑
p450_l01_o09,S22,S22,F2,F2,"creo, ",c̃do,Creo ,condo
p450_l02_o03,S22,S22,F2,F2,nauseo ,fastidio,"Nauseo, ",fastidio
p450_l02_o05,S22,S22,F2,F2,laqueo ,irr&io,"Laqueo, ",irretio
p450_l02_o06,S22,S22,F2,F2,screo ,spuo,"Screo, ",spuo
p450_l03_o04,S53,S53,F3,F3,his ,ID EST eo & queo,(e)is ,eo et q̃o
p450_l05_o06,S22,S22,F2,F2,"induo, ",circũdo,"Induo, ",cirũdo
p450_l05_o11,S22,S22,F2,F2,"alluo, ",inundo,"Alluo, ",mundo
p450_l06_o04,S22,S22,F2,F2,"ruo, ",cado,"Ruo, ",cado
p450_l06_o06,S22,S22,F2,F2,"m&uo, ",timeo,"Metuo, ",ma?
p450_l08_o01,S22,S22,F2,F2,ratio ,regula,ratio ,regula
p450_l08_o04,S3232,S3232,F2,F2,qua ,SUBAUD ͥ ͭ ͧ ͬ RA ͭ ͥ ͦ ᷠ ͤ,qua ,ratione
p450_l08_o09,S22,S22,F3,F3,"uiduo, ",desero ł orbo,Viduo ,desero ł cibo
p450_l09_o02,S23,S23,F4,F4,"c̃tinuo, ",ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?," Continuo, ",ꝓtelo/ł continuatĩ q̃ cepi fatio
p450_l13_o01,S3232,S3232,F2,F2,illa ,VERB ͣ,illa ,uerba
p450_l13_o07-09,S53,S53,F2,F2,trissillabis ,VERBIS,non minus trisillabis. ,nõib
p450_l17_o06,S22,S22,F2,F2,tripudiũ ,gaudiũ,Tripudiũ ,Gaudiũ
p450_l17_o07,S22,S22,F2,F2,tripudio ,triũpho,Tripudio ,triũpho
p450_l18_o02,S22,S22,F2,F2,radio ,luceo,Radio ,splendeo
p450_l20_o03,S22,S22,F2,F2,linia ,blandim̃tũ,Linia ,blandim̃ta
p450_l20_o04,S22,S22,F2,F2,"delinio, ",blandior,Delinio ,blandior
p450_l20_o06,S22,S22,F2,F2,auxiliũ ,adium̃tũ,Auxiliũ ,adium̃tũ
p450_l23_o03,S22,S22,F3,F3,uitiũ ,macula ł delictũ,Vitium ,macula ł delictũ
p450_l23_o07,S22,S22,F2,F2,itaq ,ergo,itaq; ,ergo
p450_l24_o04,S22,S22,F2,F2,appositũ ,adsociatũ,appositũ ,associatũ
p450_l26_o01,S22,S22,F2,F2,pio ,mundo,pio ,mundo
p451_l04_o10,S22,S22,F3,F3,priuatũ ,alienatũ ł fraudatũ,priuatũ ,fraudatũ/separatum/alienatũ
p451_l07_o06,S22,S22,F2,F2,cognoscit᷑. ,agnoscit᷑,cognoscit᷑ ,agnoscit᷑
p451_l09_o07,S22,S22,F2,F2,"custodio, ",ꝓuideo,Custodio ,ꝓuideo
p451_l09_o08,S22,S22,F2,F2,"erudio, ",doceo,Erudio ,doceo
p451_l10_o05,S22,S22,F2,F2,"stabilio, ",c̃firmo,Stabilio ,c̃firmo
p451_l11_o01,S22,S22,F2,F2,"insanio, ",seuio,Insanio ,seuio
p451_l11_o04,S22,S22,F2,F2,"insignio, ",nobilito,Insignio ,nobilio
p451_l11_o05,S22,S22,F2,F2,"finio, ",t̃mino,Finio ,̃t̃mino
p451_l11_o10,S22,S22,F3,F3,"punio, ",dãno ł ulciscor,Punio ,dãpno/ł ulciscor
p451_l12_o01,S22,S22,F2,F2,"sępio, ",circũdo,Sepio ,cirũdo
p451_l12_o03,S22,S22,F2,F2,"ferio, ",ꝑcutio,Ferio ,ꝑcutio
p451_l12_o10,S54,S54,F4,F4,"micturio, ",AB EO QUOD EST mingo DEDUC ͥ ͭ ͧ ͬ,Micturio ,ab eo qđ ÷ mingere/deducitur meditor min/gero
p451_l13_o04,S22,S22,F2,F2,"irretio, ",inlaqueo,Irretio ,illaq̃o/retineo
p451_l13_o05,S22,S22,F2,F2,"sentio, ",intelligo,Sentio ,intelligo
p451_l17_o06,S22,S22,F2,F2,notant᷑ ,excipiunt᷑,notant᷑ ,excipiunt᷑
p451_l21_o06,S22,S22,F3,F3,elicio ,extorqueo ł exprimo,"Elicio, ",extorq̃o ł expͥmo/ꝓuoco illicib;
p451_l21_o08,S22,S22,F2,F2,pellicio ,decipio,"Pelltio, ",decipio
p451_l21_o09,S22,S22,F3,F3,int̃ficio ,int̃imo occido,"Int̃fitio, ",occido/int̃imo
p451_l22_o03,S22,S22,F2,F2,cupio ,desidero,cupio ,desidero
p451_l22_o10,S22,S22,F2,F2,concutio ,cõmoueo,Concutio ,cõmoueo
p451_l22_o11,S22,S22,F2,F2,morior ,intereo,"Morior, ",intereo
p451_l23_o05,S22,S22,F2,F2,potior ,fruor,potior ,possideo
p451_l33_o03,S22,S22,F2,F2,disserere ,exponere,disserere ,exponere
p451_l34_o05,S22,S22,F2,F2,ubertati ,abundantię,ubertati ,abundantię
p451_l34_o06,S22,S22,F2,F2,uocũ ,uerborum?,uocũ ,uerboꝵ
p451_l34_o07,S23,S23,F3,F3,studens ,siue gens opera dans,studens ,satagens/operã dans
p451_l35_o06,S22,S22,F2,F2,ꝓcreauit. ,ꝓgenuit,ꝓcreauit ,ꝓgenuit
p451_l35_o08,S3232,S3232,F2,F2,multa ,sb̶ uerba,multa ,.s. uerba
p452_l01_o01,S22,S22,F2,F2,dedit ,asscripsit,dedit ,ascribit
p452_l02_o04,S22,S22,F2,F2,motu ,.i. modo,motu ,modo
p452_l02_o07,S3232,S3232,F2,F2,eas ,sb̶ t̃mina/tiones,eas ,.s. terminationes
p452_l04_o03,S22,S22,F2,F2,adhęrentia ,SERU ͣ ᷠ ͭ ͥ ͣ,adhęrentia ,seruientia
p452_l04_o07,S3232,S3232,F2,F2,ipsa ,sb̶ nomina,ipsa ,nõa
p452_l05_o01,S22,S22,F3,F3,origines ,INITI ͣ EXORDI ͣ,origines ,initia ł pͥmor/dia
p452_l05_o03,S22,S22,F2,F2,deducant᷑ ,diriuant᷑,deducant᷑ ,diriuent᷑
p452_l08_o05,S22,S22,F2,F2,generales ,COMMU ᷠ ͤ ᷤ,generales ,÷ cõmunes
p452_l08_o07,S22,S22,F2,F2,speciales ,PROPRI ͤ,spetiales ,ꝓpͥe
p452_l13_o08,S53,S53,F3,F3,positionis ,primę ꝑsonę indicatiui MOD ͥ,positionis ,÷ primę ꝑsonę indicatiui modi
p452_l15_o08,S22,S22,F2,F2,litigo ,altercor,"Litigo, ",altercor
p452_l15_o09,S22,S22,F2,F2,"litigium, ",rixa,"Litigiũ, ",Rixa
p452_l16_o05,S22,S22,F2,F2,ędifico ,c̃struo,Aedifico ,construo
p452_l17_o01,S22,S22,F2,F2,sacrificium ,oblatio,"Sacrifitium, ",oblatio
p452_l18_o01,S23,S23,F4,F4,c̃uiuor ,CUM AL ͥ ͥ ᷤ AD CONUIUIUM SUM,Conuiuor ,cũ ãliis uiuo/ad conuiuium sum / a conuiua dictũ
p452_l18_o05,S22,S22,F2,F2,gaudeo ,gratulor,Gaudeo ,congratulor
p452_l19_o05,S22,S22,F2,F2,"conubiũ, ",c̃iugiũ,"Conubiũ, ",c̃iugium
p452_l20_o03,S22,S22,F2,F2,"Exulo, ",peregrinor,Exulo ,peregrinor
p452_l20_o07,S22,S22,F2,F2,exiliũ ,peregrinatio,Exilũ ,peregrinatio
p452_l21_o05,S23,S23,F4,F4,domunculo ,paruã domũ facio,Domunculo ,paruã domũ fatio
p452_l21_o06,S23,S23,F3,F3,domiciliũ ,domus auiũ,"Domicilium, ",domꝰ auiũ
p452_l22_o01,S23,S23,F4,F4,Solsto ,solẽ stare facio,Solsto ,solẽ stare facio
p452_l22_o02,S25,S25,F3,F3,solsticiũ ,statio solis,"Solstitium, ",solis statio
p452_l22_o04,S23,S23,F4,F4,"iusticiũ, ",locꝰ UBI IUSTI ͭ ͥ ͣ FIT,"Iustitium, ",locus ubi iustitia sit
p452_l22_o07-09,S53,S53,F4,F4,Ante .iculũ. ,SUBAUD ͥ ͭ ͧ ͬ SERU ͣ ᷠ ͭ CONSONAN ͭ ͤ ᷤ ?,"itẽ-an-.iculũ., ",.s. seruat᷑ consonans
p452_l23_o03,S22,S22,F3,F3,Perpendo ,m̃suro ł penso,Perpendo ,coęquo ꝑpendo/mensuro
p452_l23_o04,S23,S23,F4,F4,ꝑpendiculũ ,genꝰ m̃sioꝵ ÷,"Perpendiculũ, ",Genus mensurę ẽ
p452_l23_o05,S22,S22,F2,F2,Euerso ,destruo,Euerso ,destruo
p452_l24_o02,S22,S22,F2,F2,Ueho ,++?,Veho ,porto
p452_l24_o03,S22,S22,F2,F2,uehiculũ ,plaustrũ,Vehiculũ ,plaustrũ
p452_l25_o03,S22,S22,F2,F2,"uinculũ, ",ligam̃tũ,uinculũ ,ligamentũ ÷ ligam̃
p452_l25_o08,S22,S22,F2,F2,"iaculũ, ",telum,"iaculũ, ",telũ
p452_l26_o09,S22,S22,F2,F2,rego ,guberno,Rego ,guberno
p452_l26_o10,S22,S22,F2,F2,regimen ,gub̶natio,"regimen, ",gubernatio/dominatio
p452_l27_o01,S22,S22,F2,F2,Tego ,operio,Tego ,operio
p452_l27_o02,S22,S22,F2,F2,Tegim̃ ,operim̃tũ,"Tegimen, ",operimentũ
p452_l28_o02,S22,S22,F2,F2,Vereor ,timeo,Vereor ,timeo
p452_l28_o09-11,S53,S53,F4,F4,Ante .or.quoq; ,sb̶ seruant c̃sonantẽ UERB ͣ ITA? NOMINA ͫ ͧ ᷤ (uerba in nominibus?),Ante .or. quoq; ,.s. seruant consonantẽ uerba in nõib
p452_l30_o10,S22,S22,F2,F2,transeuntia ,migrantia,transeuntia ,migrantia
p452_l31_o10,S22,S22,F2,F2,pręsertim ,(maxime?),p̃sertim ,maxime
p453_l01_o02,S22,S22,F2,F2,diriuatũ ,deductũ,diriuatũ ,deductũ
p453_l02_o01,S22,S22,F2,F2,uocabulũ ,(nomen?),uocabulũ ,nom̃
p453_l02_o03,S22,S22,F2,F2,seruata ,custodita,seruata ,custodita
p453_l02_o06,S53,S53,F3,F3,positionis ,pͥmę ꝑsonę,positionis ,pͥmę ꝑsonę
p453_l04_o08,S22,S22,F2,F2,deducta ,diriuata,deducta ,diriuata
p453_l05_o08,S22,S22,F2,F2,censor ,iudex,censor ,iudex
p453_l05_o07,S22,S22,F3,F3,Vnde ,ex quo,Vnde ,exquo
p453_l06_o03,S22,S22,F3,F3,censeo ,statuo ł diffinio ł iudico,Censeo ,iudico/statuo/definio
p453_l10_o09,S22,S22,F2,F2,Rubeo ,uerecundor,Rubeo ,uerecundor
p453_l10_o11,S22,S22,F2,F2,Marceo ,areo,Marceo ,areo
p453_l12_o03,S22,S22,F2,F2,horreo ,abhominor,Horreo ,abominor
p453_l14_o03,S22,S22,F2,F2,Liquor ,fluo,"Liquor, ",fluo
p453_l16_o08,S53,S53,F3,F3,positionis ,÷ pͥmę ꝑsonę,positionis ,÷ pͥmę ꝑsonę
p453_l17_o04,S22,S22,F2,F2,Splendeo ,luceo,Splendeo- ,luceo
p453_l17_o07,S22,S22,F2,F2,"sordidus, ",ma(culatus)?,"sordidus, ",maculatꝰ
p453_l18_o08,S22,S22,F2,F2,Stupeo ,(admiror?),Stupeo ,admiror
p453_l19_o03,S22,S22,F2,F2,Torreo ,uro,Torreo ,uro
p453_l19_o07,S22,S22,F2,F2,Rapio ,aufero,Rapio ,aufero
p453_l26_o11,S22,S22,F3,F3,Luo ,sustineo/ł soluo,Luo ,sustineo/ł soluo
p453_l27_o02,S22,S22,F2,F2,struo ,ędifico,Struo ,edifico
p453_l27_o03,S23,S23,F3,F3,"strues, ",c̃genies t̃rę aug? cumulus,"Strues, ",congeries ligni/ł cumulus terrę
p453_l27_o05,S22,S22,F2,F2,"fides, ",credulitas,Fides ,credulitas
p453_l28_o12,S23,S23,F3,F3,"docibilis, ",facile discens,"Docibilis, ",ł docendo habilis/facile docens
p453_l29_o02,S23,S23,F3,F3,"nubilis, ",puella apta (ad nubendum?),nubił ,puella/apta ad/nubendũ
p453_l29_o03,S22,S22,F2,F2,Facio ,ago,Fatio ,ago
p453_l29_o04,S22,S22,F2,F2,"facilis, ",leuis,"facił, ",leuis
p453_l29_o07,S22,S22,F2,F2,Effutio ,effundo,Effutio ,effundo
p453_l29_o08,S22,S22,F3,F3,effutilis ,uanus instab̶is,"effutił, ",uanus/ instabilis
p453_l30_o01,S22,S22,F2,F2,"occiduus, ",transitiuus,"occiduus, ",transitiuus
p453_l32_o01,S22,S22,F2,F2,Strido ,sono,Strido ,sono
p453_l32_o04,S22,S22,F2,F2,"gerulus, ",portitor,"geruł, ",portitor
p453_l33_o08,S22,S22,F2,F2,adoptulus ,adoptiuus,adoptuł. ,adoptans /ualde desiderat᷑ Idem est & adoptiuus
p454_l01_o12,S22,S22,F3,F3,contumeo ,inflo suꝑbio,Contumeo ,inflo ł suꝑbio
p454_l03_o01,S22,S22,F3,F3,"ꝑspicax, ",ingeniosus astutꝰ,"ꝑspicax, ",ingeniosus astutus/clarus uigilans
p454_l03_o03,S22,S22,F3,F3,"efficax, ",efficiens ł potens,"efficax, ",effitiens/ł potens
p454_l03_o04,S22,S22,F2,F2,fallo ,(mentior?),Fallo ,m̃tior
p454_l03_o09,S22,S22,F2,F2,"uiuax, ",uiuidus,"uiuax, ",uiuidus
p454_l04_o01,S23,S23,F4,F4,pręsagio ,futura p̃dico,pręsagio ,fut̃a p̃dico
p454_l05_o09,S23,S23,F5,F5,"uertex, ",su? ++++ capilli,uertex ,sũm pras capitis/Eo qđ ibi uertunt᷑ capille:
p454_l09_o07,S22,S22,F2,F2,pateo ,aperio,Pateo ,aperio
p454_l09_o09,S22,S22,F2,F2,"patibulũ, ",torm̃tũ,"Patibulũ, ",torm̃tũ
p454_l09_o11,S22,S22,F2,F2,infundo ,suꝑ/fundo,infudo ,suꝑfundo
p454_l12_o01,S22,S22,F2,F2,furio ,insanio,Furio ,insanio
p454_l12_o03,S22,S22,F2,F2,furibundus ,(similis) furenti,Furibundus. ,simił furenti
p454_l13_o04,S22,S22,F2,F2,clausulę ,t̃minatioñ,claũsulę ,terminationes
p454_l18_o05,S23,S23,F3,F3,c̃uena ,simul/ueniens,"conuena, ",ꝗ cũ uenit/simul ueniens
p454_l18_o06,S22,S22,F3,F3,Lenio ,sedo/placo,Lenio ,placo/ł satis fatio
p454_l19_o02,S25,S25,F3,F3,"cęlicola, ",cęlũ colens,"cęlicola, ",cęlũ colens sic̃ angłs
p454_l19_o03,S22,S22,F2,F2,Gigno ,+,Gigno ,nutrio
p454_l20_o08,S22,S22,F2,F2,suadeo ,adoror,Suadeo ,adortor
p454_l20_o09,S22,S22,F2,F2,"suadela, ",suasie,"Suadela, ",adoracio
p454_l21_o06,S22,S22,F2,F2,Lateo ,absc̃do,Lateo ,abscondo
p454_l21_o08,S22,S22,F2,F2,Ruo ,cado,Ruo ,cado
p454_l21_o10,S22,S22,F2,F2,Rapio ,aufero,Rapio ,aufero
p454_l22_o01,S22,S22,F2,F2,Cubo ,iaceo,Cubo ,iaceo
p454_l23_o09,S22,S22,F2,F2,palpo ,tango,"Palpo, ",tango
p454_l29_o09,S22,S22,F3,F3,"pandus, ",manifestꝰ/patulus,"pandus, ",aꝑtꝰ latꝰ/manifestꝰ/patulus
p454_l29_o11,S23,S23,F3,F3,"lucus, ",silua densa,"lucus, ",densa silua
p454_l30_o02,S54,S54,F3,F3,arcus. ,++,"archus, ",ab arcendis
p454_l30_o03,S22,S22,F2,F2,Metuo ,timeo,metuo ,timeo
p454_l30_o04,S22,S22,F2,F2,"m&us, ",timor,"metus, ",timor
p454_l33_o03,S25,S25,F3,F3,"fatidicus, ",fatũ dicens,fatidicus ,fata dicens
p455_l05_o04,S25,S25,F3,F3,lucifer ,lucũ ferens,"lucifer, ",lucẽ ferens
p455_l10_o02,S25,S25,F3,F3,"Tibicen, ",tibiis canens,"tibicen, ",tibis canens
p455_l10_o05,S23,S23,F3,F3,compos ,adeptor uoti,cõpos. ,effector uoti ł adeptor uoti/ł cõpositor ornam̃ti ł uoluntatis
p455_l11_o01,S25,S25,F3,F3,opifex ,opꝰ faciens,"opifex, ",opꝰ fatiens
p455_l11_o04,S25,S25,F3,F3,municeps ,munera capiens,"municeps, ",munera capiens
p455_l12_o01,S22,S22,F2,F2,"pręses, ",iudex,"p̃ses, ",iudex
p455_l12_o03,S22,S22,F2,F2,"reses, ",piger,"reses, ",piger
p455_l12_o05,S22,S22,F3,F3,deses ,pigris ł stultꝰ negligens,"deses, ",piger stultus/ł neglegens
p455_l18_o07,S3232,S3232,F2,F2,eas. ,(terminationes?),eas. ,.s. terminationes
p455_l18_o10,S23,S23,F3,F3,Oraculũ ,(responsum diuinum),Oraculum ,Responsum/diuinũ
p455_l19_o06,S22,S22,F3,F3,Munim̃tũ ,tutam̃ ÷ defensio,"Munimentũ, ",tutamen ÷ defensio
p455_l20_o01,S22,S22,F2,F2,alim̃tũ ,nutrim̃tũ,"Alimentũ, ",Nutrimentũ
p455_l20_o02,S22,S22,F2,F2,Increm̃tũ ,augm̃tũ,"Incrementũ, ",augm̃tũ
p455_l21_o01,S22,S22,F2,F2,ligam̃ ,ligatio,Ligam̃  ,ligatio
p455_l28_o06,S22,S22,F2,F2,Aequatio ,assimilatio,"Aequatio, ",assimilatio
p455_l28_o07,S22,S22,F2,F2,Obseruatio ,custodia,"Obseruatio, ",custodia
p456_l01_o05,S23,S23,F4,F4,Tonsor ,ꝗ tond&,Tonsor ,ꝗ tond&
p456_l01_o06,S23,S23,F4,F4,Tonstrix ,dr̃ mulier q̃ tond&,"Tonstrix, ",dr̃ mulier ꝗ tond&
p456_l01_o07,S23,S23,F3,F3,"Tonstrina, ",opꝰ tonsoris,Tonstrina ,opꝰ tonsoris
p456_l02_o05-06,S53,S53,F4,F4,Nec-non ,sb̶ inuenit,Nec non ,.s. inuenit᷑ uocalis ł c̃sonans
p456_l04_o10,S22,S22,F2,F2,Mersio ,intinctio,mersio ,intinctio
p456_l04_o11,S22,S22,F2,F2,Lesio ,offensio,lesio ,offensio
p456_l05_o04,S23,S23,F4,F4,Risor ,(ꝗ ridet?),"Risor, ",qͥ rid&
p456_l05_o05,S23,S23,F4,F4,pransor ,ꝗ prand&,"Pransor, ",qͥ prand&
p456_l05_10,S23,S23,F4,F4,Visibilis ,ꝗ facilis ( est uidere?),Visibilis ,uidendo habił/ł facilis ad uidendũ
p456_l06_01,S23,S23,F4,F4,Plausibilis ,"(qui facile) plausũ (facit, id est) sonũ",Plausibilis ,÷ qui cũ manib; facit pneumata/ͣł qͥ facile plausũ facit ÷ sonũ
p456_l06_03,S23,S23,F4,F4,Missibilis ,ꝗ facile mittit᷑,Missibilis ,ꝗ facile mittit᷑/sagita ł dãbra
